Date,Handy_Odessa_Agioi_30,Handy_Fawley_Rotterdam_30,Handy_Lavera_Augusta_30
2009-12-04T00:00:00Z,7236.75685,23682.25755,18230.14478
2009-12-11T00:00:00Z,13495.57859,24550.42537,23600.95495
2009-12-18T00:00:00Z,15995.20721,25593.65345,24671.4275
2009-12-25T00:00:00Z,15956.07698,25677.41983,24671.4275
2010-01-01T00:00:00Z,11277.46232,24417.81741,23202.0667
2010-01-08T00:00:00Z,19897.8995,25054.08345,26757.99161
2010-01-15T00:00:00Z,24704.73646,24845.24714,32297.07802
2010-01-22T00:00:00Z,25869.06178,25218.77164,32632.24142
2010-01-29T00:00:00Z,26017.7983,25790.09576,31897.02051
2010-02-05T00:00:00Z,23151.11428,25151.98476,30725.06943
2010-02-12T00:00:00Z,19178.34282,26282.08415,25287.11565
2010-02-19T00:00:00Z,14443.26543,27875.9552,22153.85191
2010-02-26T00:00:00Z,11439.52607,26783.64805,20869.93913
2010-03-05T00:00:00Z,10677.46232,26694.99998,20028.20888
2010-03-12T00:00:00Z,9770.51719,26602.76847,19524.53996
2010-03-19T00:00:00Z,9367.93474,26216.90516,19097.7706
2010-03-26T00:00:00Z,10827.84489,26635.92354,20200.95022
2010-04-02T00:00:00Z,10685.97177,26486.01062,20000.92659
2010-04-09T00:00:00Z,11447.47247,26282.30757,20740.95377
2010-04-16T00:00:00Z,15941.22136,26984.33237,24452.11023
2010-04-23T00:00:00Z,16934.29465,27908.5403,25042.99801
2010-04-30T00:00:00Z,16096.82129,28730.70408,24633.4745
2010-05-07T00:00:00Z,13153.08162,28969.42869,22522.81049
2010-05-14T00:00:00Z,12724.04983,26403.67796,22100.56454
2010-05-21T00:00:00Z,12047.95681,26302.95494,21982.7313
2010-05-28T00:00:00Z,12536.34653,26907.27194,22952.2556
2010-06-04T00:00:00Z,11556.63753,26059.9925,21927.38905
2010-06-11T00:00:00Z,11070.21474,26126.03349,21410.29094
2010-06-18T00:00:00Z,9082.46376,25088.72854,19265.49373
2010-06-25T00:00:00Z,9626.59844,25418.26148,18958.9505
2010-07-02T00:00:00Z,10675.77922,24355.18821,20077.96246
2010-07-09T00:00:00Z,10795.82024,22998.89302,20684.18776
2010-07-16T00:00:00Z,10178.92169,21855.52773,19543.61849
2010-07-23T00:00:00Z,10187.71038,29817.86742,19578.81695
2010-07-30T00:00:00Z,12698.20518,26689.84737,23077.6465
